,Country,2021 r.,Rate_1,Rate_2,Rate_PKB,Users_rate_avg,Capital,Coordinates,User_coordinates,Distance,Distance_rate,Summary
11,Bośnia i Hercegowina,6440.0,7.5,7.5,4.764449418804545,7.5,Sarajewo,"43°51′N, 18°22′E","52°13′56″N, 21°00′30″E",952.4411644141056,4.730798878979701,16.995248297784247
12,Tanzania,1177.0,8.5,9.0,4.956949839430582,8.75,Dodoma,"6°15′S, 35°45′E","52°13′56″N, 21°00′30″E",6630.038474900429,3.1260639958281935,16.833013835258775
13,Nepal,1164.0,8.0,9.0,4.957425329734237,8.5,Katmandu,"27°42′N, 85°20′E","52°13′56″N, 21°00′30″E",5898.221131129467,3.332907270442882,16.79033260017712
14,Algieria,3701.0,7.5,7.5,4.864631568167022,7.5,Algier,"36°47′N, 3°04′E","52°13′56″N, 21°00′30″E",2219.4696299891752,4.3726817626250565,16.737313330792077
15,Słowenia,29193.0,7.0,9.0,3.932231658875941,8.0,Lublana,"46°03′23″N, 14°30′28″E","52°13′56″N, 21°00′30″E",833.9337584087056,4.764294204190142,16.696525863066086
16,Islandia,69033.0,10.0,10.0,2.4750367590580904,10.0,Reykjavík,"64°08′N, 21°56′W","52°13′56″N, 21°00′30″E",2779.412878423903,4.214417550809828,16.68945430986792
17,Włochy,35473.0,9.0,7.5,3.7025332660331673,8.25,Rzym,"41°53′35″N, 12°28′58″E","52°13′56″N, 21°00′30″E",1317.2418403946397,4.627690409299756,16.580223675332924
18,Szwecja,60029.0,8.0,10.0,2.804368658605277,9.0,Sztokholm,"59°20′N, 18°03′E","52°13′56″N, 21°00′30″E",811.9076651224037,4.770519732050456,16.574888390655733
19,Tajlandia,7336.0,9.0,9.0,4.731677164029524,9.0,Bangkok,"13°45′N, 100°31′E","52°13′56″N, 21°00′30″E",8098.010356099278,2.711151567837847,16.442828731867372
20,Cypr,30846.0,8.0,8.0,3.8717712379572937,8.0,Nikozja,"35°10′N, 33°21′E","52°13′56″N, 21°00′30″E",2134.3745950866096,4.396733304751676,16.268504542708968
21,Japonia,39340.0,10.0,10.0,3.561093188784281,10.0,Tokio,"35°41′22″N, 139°41′30″E","52°13′56″N, 21°00′30″E",8599.960270287014,2.5692787838339095,16.13037197261819
22,Portugalia,24264.0,8.0,7.5,4.112515636315755,7.75,Lizbona,"38°42′N, 9°11′W","52°13′56″N, 21°00′30″E",2768.447165463101,4.217516936191444,16.0800325725072
23,Korea Południowa,34801.0,9.0,10.0,3.727112457114432,9.5,Seul,"37°33′N, 126°59′E","52°13′56″N, 21°00′30″E",7762.154027073355,2.8060791115577355,16.033191568672166
24,Peru,6643.0,10.0,9.0,4.757024454832079,9.5,Lima,"12°03′36″S, 77°02′15″W","52°13′56″N, 21°00′30″E",11606.205077394934,1.719583808047413,15.976608262879491
25,Wielka Brytania,47203.0,10.0,6.0,3.2734947074271585,8.0,Londyn,"51°30′N, 0°07′W","52°13′56″N, 21°00′30″E",1452.2556769034072,4.589529651974899,15.863024359402058
26,Meksyk,10040.0,10.0,8.0,4.632775180869197,9.0,Meksyk,"19°25′10″N, 99°08′44″W","52°13′56″N, 21°00′30″E",10197.759896358893,2.1176714126122347,15.750446593481431
27,Wietnam,3725.0,8.0,8.0,4.863753739914119,8.0,Hanoi,"21°02′N, 105°51′E","52°13′56″N, 21°00′30″E",7841.548324290336,2.7836388447864255,15.647392584700546
28,Madagaskar,502.0,9.0,7.0,4.981638759043459,8.0,Antananarywa,"18°55′S, 47°31′E","52°13′56″N, 21°00′30″E",8290.30087008865,2.6568019409405776,15.638440699984038
29,Andora,41873.0,8.0,7.0,3.468445731925882,7.5,Andora,"42°30′N, 1°30′E","52°13′56″N, 21°00′30″E",1818.5103724770418,4.486010213387821,15.454455945313704
30,Norwegia,89090.0,9.0,9.0,1.7414283728721807,9.0,Oslo,"59°54′46,79″N, 10°44′16,79″E","52°13′56″N, 21°00′30″E",1065.365569574031,4.698881551594651,15.440309924466831
31,Grecja,20256.0,8.0,5.0,4.259112954550442,6.5,Ateny,"38°00′N, 23°43′E","52°13′56″N, 21°00′30″E",1595.6797782442968,4.548991789579957,15.3081047441304
32,Kanada,52079.0,9.0,9.0,3.0951492673791705,9.0,Ottawa,"45°25′N, 75°42′W","52°13′56″N, 21°00′30″E",6596.598024199657,3.135515715422452,15.230664982801622
33,Argentyna,10658.0,9.0,9.0,4.6101711033569615,9.0,Buenos Aires,"34°35′S, 58°55′W","52°13′56″N, 21°00′30″E",12336.970415114363,1.5130378759027625,15.123208979259724
34,Egipt,3926.0,6.0,6.0,4.856401928296062,6.0,Kair,"30°02′40″N, 31°14′09″E","52°13′56″N, 21°00′30″E",2603.432221287227,4.264157305819499,15.12055923411556
35,Stany Zjednoczone,69231.0,10.0,9.0,2.4677946759716463,9.5,Waszyngton,"38°53′42″N, 77°02′12″W","52°13′56″N, 21°00′30″E",7197.228223815318,2.965751609148606,14.933546285120253
36,Senegal,1607.0,7.0,6.0,4.9412220832327485,6.5,Dakar,"14°43′12″N, 17°28′48″W","52°13′56″N, 21°00′30″E",5373.511675129223,3.4812128866245473,14.922434969857296
37,Czechy,26411.0,6.0,6.0,4.033986583858201,6.0,Praga,"50°05′16″N, 14°25′16″E","52°13′56″N, 21°00′30″E",518.638622865472,4.853410264175535,14.887396848033736
38,Dominikana,8986.0,7.0,8.0,4.671326471642489,7.5,Santo Domingo,"18°28′35″N, 69°53′36″W","52°13′56″N, 21°00′30″E",8465.524053672189,2.6072762807613987,14.778602752403888
